seed_42,seed_123,seed_2026
-138.38866373021872,-109.18933216679238,-198.4213621251294
-206.04214395466394,-198.51822475870583,-211.895897032146
-225.85145258563625,-184.96024516260118,-221.05509771485973
-190.37020656755757,-159.98055271330998,-147.03797711709865
-213.5220063498543,-197.4381346698999,-114.74520380797154
-130.82666439047907,-156.94332940871487,-178.37022570775494
-82.8112295316814,-206.6990707082403,-125.79324190587421
-134.19865791016989,-230.38533316472612,-159.99780294994412
-207.97061895961986,-164.02744246322015,-129.71839797987676
-162.71301389331651,-213.98728526748698,-160.90014175247313
-198.56332793111633,-210.87759326771902,-146.71641982923396
-220.19727694539048,-208.1641547948338,-207.01945788094568
-145.99490886371242,-183.56657577188463,-206.32778989051099
-200.00271168911664,-151.72259444138393,-193.53820703866145
-163.9935318544935,-138.7597798044549,-186.63752941559412
-121.37148827807589,-207.1794448468972,-145.88531844571918
-204.4189290894932,-182.4425792189416,-164.42499495163133
-177.26544657924111,-155.121152389406,-187.98666709202143
-152.40609545243788,-172.89870303674377,-183.3880352312101
-184.40000974831244,-145.60732970152287,-91.0109064916798
-191.57946692313038,-188.3581932261334,-137.08931234780943
-169.5983627655133,-132.4859225561365,-130.87634044862014
-194.05811878412504,-198.24903038217366,-195.78361565672432
-129.11583886779655,-153.96611040982208,-150.58975824419525
-180.72670772757485,-121.34586242541516,-172.140320972681
-216.16746033476065,-126.40998244154665,-185.37784906249922
-175.03215933451187,-142.86564677287382,-95.74592783064837
-90.23967250493163,-206.78362739330834,-118.41571942376036
-211.14665082271483,-213.44407105425776,-161.887496463857
-177.4136561536519,-180.03711700777924,-126.24077025879325
-180.97192097787578,-213.1404586272912,-150.04716439931903
-147.19537560663971,-154.15053883272324,-189.83352941336065
-138.701122406276,-126.1517645349998,-221.1819292960478
-213.77927152443274,-180.96738657001592,-138.92107238342356
-205.8927222950513,-111.84551337565142,-92.29567972290272
-120.5522481111174,-188.87243681782186,-140.07217563415438
-200.97787311288664,-179.72360486677587,-171.8229190554736
-108.51463765190098,-111.40253767378817,-97.6309314960549
-213.99403108203452,-176.81176604643363,-131.80416849779672
-126.57373616508103,-201.041778645857,-89.43609703052049
-214.39825038978475,-187.9624244281892,-203.12850233659708
-237.30528446570796,-224.41186272927845,-225.15366738798153
-157.6932822300764,-216.41384772495996,-171.95772239475963
-178.9904550961939,-148.6317589840697,-151.3064210667406
-134.4554397115291,-163.1518413805557,-167.91012994859574
-208.84301605979348,-180.9923934181722,-142.7821692236276
-208.48771540845044,-151.9602381313373,-223.03509372431233
-222.4886724685165,-206.15374835206785,-151.74953040658556
-155.26371425995248,-218.45228660284945,-111.76746906565778
-155.5959042366198,-159.35794529282745,-212.3884746667383
-185.4093700311908,-217.97958118615645,-208.48409757057306
-145.5295315282112,-120.23258719293383,-195.16089050335552
-106.31680276410981,-211.9414385129896,-195.21957118240599
-174.4004763127719,-132.76722734344017,-114.06372356309849
-209.84363410374564,-236.86541391794054,-186.78964427508413
-126.4909166337366,-225.0191748944493,-214.73914037240417
-153.04741605981033,-127.90326282876885,-119.51454086496496
-145.54936300123904,-97.93448342863977,-161.73895448475182
-160.30246002868884,-222.4936520456493,-211.37167750304562
-165.40317065166738,-215.04956061005208,-217.05139475518286
-168.16291117243662,-200.05170001546563,-133.46486447480527
-219.11686650591943,-163.50463352747403,-211.8938138375218
-230.2965936587255,-141.39077640734521,-119.77798816279049
-147.3250391447348,-139.4686962978116,-156.06024430511835
-173.17200806884352,-159.77406256889262,-206.73621249540733
-77.35566954772672,-174.97571422195804,-97.97081769079344
-124.72755599520193,-182.26802546537274,-151.0399817840562
-209.10384465785262,-122.4658085958392,-144.29815537021415
-147.59534404376538,-92.1556083714306,-180.9827692779114
-189.60344421626846,-203.57404692014143,-130.6296446721736
-121.65843960019653,-233.16739883849758,-132.83203181828318
-150.17138161600542,-204.40788656284022,-84.6699288663082
-92.10087184794334,-153.2267867663918,-133.54055902444654
-141.2520527390599,-126.69228827125059,-202.322757393713
-133.76014420262103,-203.96964164391537,-198.4657510435364
-73.28498432160738,-168.79015061684046,-182.85463345781608
-163.2679999407618,-175.9099424622412,-118.46536567377626
-173.59322440218529,-115.4829075804278,-206.13259048032367
-103.83049122003014,-119.47029712366407,-208.86017255176088
-113.17016252858248,-96.16674046857534,-205.6305333988025
-200.422425737096,-159.203398292371,-122.62853349904006
-129.7946964804111,-196.52127970877478,-210.5605359502133
-184.97064646230888,-195.61840176327703,-195.34516671970815
-176.34181001886193,-193.85769956799965,-156.3209157515684
-156.3385309611752,-82.19401677419052,-226.16331594521077
-185.30459011416536,-213.34456401755355,-202.47614464141418
-157.71090483408568,-226.75343578334466,-128.26757046061928
-214.99607297068576,-95.47155342294631,-205.12262376696478
-223.69916778879522,-94.63208691240767,-122.30494573062342
-172.6909738887372,-120.3242651370231,-140.94054603124295
-211.6489760899398,-141.8884942429907,-124.69451093233575
-206.3073687641024,-130.78993627804863,-136.66545151408005
-222.76524785390538,-205.9592542623502,-142.66530774805668
-183.28666405755177,-157.99298913671637,-204.61413979866924
-159.6903757064995,-171.30920009626166,-197.1204947394999
-134.38837636670357,-213.16226158507675,-151.91934639506243
-224.47572115312477,-134.8449939591447,-115.16479748601553
-174.70240217640986,-149.17137918896952,-208.76709887317693
-156.41556531285022,-162.78787404466908,-100.93208740382839
-182.99727001173846,-135.67818935154855,-209.94475107253348
