chunk_id,document_id,chars,language,chunk_type
chk_3042a1b961e300d7,doc_a6fa1173bf25b38e,270,en,mixed
chk_2775d2ae8e125f2c,doc_a6fa1173bf25b38e,115,en,mixed
chk_825b4a149c61b37e,doc_d3dbbd162774bc4a,216,en,mixed
chk_ed035e2a0f49bf74,doc_d3dbbd162774bc4a,115,en,mixed
chk_5db45ed56fa84a4b,doc_0ed9a87929364516,170,en,mixed
chk_e48da576ed0716f2,doc_0ed9a87929364516,115,en,mixed
chk_7d775b60b11f566d,doc_371ae4021b478bf3,249,en,mixed
chk_51ed910134a05b04,doc_371ae4021b478bf3,115,en,mixed
chk_898409d64cb0a2cb,doc_22d6f4e6ec74b6ad,240,en,mixed
chk_1aa9c67a9a232f8a,doc_22d6f4e6ec74b6ad,115,en,mixed
chk_eaf36b22d3a0f684,doc_b347cce7eb727c8e,226,en,mixed
chk_acaaaa6691b95f22,doc_b347cce7eb727c8e,115,en,mixed
chk_d58e083d8616153f,doc_bf6e3b87a53fcd66,186,en,mixed
chk_38f60cf7f1497289,doc_bf6e3b87a53fcd66,115,en,mixed
chk_69b154add2e060a0,doc_c46497f93f96cc3b,182,en,mixed
chk_6f8b0c59d7adfb27,doc_c46497f93f96cc3b,115,en,mixed
chk_829eb8b418e6355a,doc_28422111a6120f50,201,en,mixed
chk_1417ed465ecde986,doc_28422111a6120f50,115,en,mixed
chk_afce8b50e6dfe198,doc_fc0283f05bfbb652,189,en,mixed
chk_0239242d3bc1c71d,doc_fc0283f05bfbb652,115,en,mixed
chk_73331005f99763f4,doc_3fe07daa6b873e6f,285,en,code
chk_1d587bbabbc2d3f7,doc_e251ffc7e0440e8d,199,en,mixed
chk_20430b5eeabb5bda,doc_e251ffc7e0440e8d,115,en,mixed
chk_12063f58df8817ae,doc_4e5adf93c9e6abca,204,en,mixed
chk_f5ff71f74f63fd36,doc_4e5adf93c9e6abca,115,en,mixed
chk_6f529cb38ee1d803,doc_6f98e76b433f6467,214,en,mixed
chk_7a2733fe51e6e766,doc_6f98e76b433f6467,115,en,mixed
chk_b89e0cc912a905bc,doc_423beaea2fd3dd93,326,en,mixed
chk_9379fbb61e5ebf1a,doc_7395de6975ff02de,202,en,mixed
chk_20c48d9a37edd299,doc_7395de6975ff02de,115,en,mixed
chk_2c3588696c2bb13c,doc_a5bf48eddcbdfa95,226,en,mixed
chk_74e55356cf0dd255,doc_a5bf48eddcbdfa95,115,en,mixed
chk_b7eaf6ddb71e11b3,doc_e9d301aec3512a5b,342,en,mixed
chk_bc44936fd57cb1ed,doc_fd5e8324195437ce,282,en,code
chk_0179d0fb299164bd,doc_6cbe82907af879a5,216,en,mixed
chk_5b55843442900135,doc_6cbe82907af879a5,115,en,mixed
chk_2fb1784c61584ea0,doc_e3152e2083bb070d,265,en,mixed
chk_4814a099b9776bba,doc_e3152e2083bb070d,115,en,mixed
chk_f44edf49a4bea906,doc_44a35a3111581c2c,195,en,mixed
chk_02dc717a96ee1da8,doc_44a35a3111581c2c,115,en,mixed
chk_9f4b7cc8ce81e00d,doc_4e7af8b42378a247,254,en,mixed
chk_d3a584d7a2f381b1,doc_4e7af8b42378a247,115,en,mixed
chk_060fb6b86fc61470,doc_5b1a732e9a0f2f3f,161,en,mixed
chk_d8213d4a899b3395,doc_5b1a732e9a0f2f3f,115,en,mixed
chk_45f4a20ed9b47fb0,doc_0fa3df5082850152,164,en,mixed
chk_b5befc8a340a562c,doc_0fa3df5082850152,115,en,mixed
chk_8405abc393c390c7,doc_a8853b189d6c04c1,186,en,mixed
chk_b52fc5af4e1f3f96,doc_a8853b189d6c04c1,115,en,mixed
chk_77b614f290baf8cb,doc_9b1e400c19ae511f,204,en,mixed
chk_d80e55134f8fc46f,doc_9b1e400c19ae511f,115,en,mixed
chk_bdee65b64658cfaf,doc_a65ffd11e4e331b1,213,en,mixed
chk_e6435afd62069750,doc_a65ffd11e4e331b1,115,en,mixed
chk_eeb8501a0db0767c,doc_7e74ac287fe981a8,300,en,mixed
chk_5287542372fa6a66,doc_7e74ac287fe981a8,96,en,code
chk_9ce3887842b228fd,doc_8bc7b590ea5ed157,256,en,mixed
chk_bdde086416e33aad,doc_8bc7b590ea5ed157,199,en,code
chk_52139afef2d7dea2,doc_077cf26f47acaa5a,199,en,mixed
chk_77bbbfdcce8cf47f,doc_077cf26f47acaa5a,115,en,mixed
