poi_id,city,country,name,category,rating,estimated_visit_hours,ticket_eur,indoor,family_friendly,wheelchair_accessible,recommended_duration
P0010001,Vienna,Austria,Alder Arcade Museum of Modern Art,museum,3.4,0.5,0,1,1,1,quick
P0010002,Vienna,Austria,Maritime & Archaeology Landmark at Ash Arcade,landmark,4.7,1.0,0,0,0,1,half_day
P0010003,Vienna,Austria,Arts Quarter Birch Arcade Park: Local Life,park,4.3,1.5,0,0,1,0,half_day
P0010004,Vienna,Austria,Canal Riverside Market — Briar Arcade,market,3.9,2.0,4,0,1,1,full_day
P0010005,Vienna,Austria,Food Heritage Gallery at Brook Arcade,gallery,3.5,2.5,6,1,1,1,quick
P0010006,Vienna,Austria,Cedar Arcade Historic Site of Performing Arts and Archaeology,historic_site,4.8,3.0,8,0,1,1,half_day
P0010007,Vienna,Austria,Garden Clover Arcade Cartography Viewpoint,viewpoint,4.4,3.5,10,0,0,1,half_day
P0010008,Vienna,Austria,Copper Arcade Archaeology Food Hall in Canal Side,food_hall,4.0,4.0,12,1,1,1,full_day
P0010009,Vienna,Austria,Elm Arcade Church of Architecture,church,3.6,4.5,15,1,1,0,quick
P0010010,Vienna,Austria,Industrial Heritage & Archaeology Neighborhood at Fern Arcade,neighborhood,4.9,5.0,18,0,1,1,half_day
P0010011,Vienna,Austria,Museum Quarter Flint Arcade Castle: Botanical,castle,4.5,0.5,22,0,1,1,half_day
P0010012,Vienna,Austria,New Innovation Science Museum — Garnet Arcade,science_museum,4.1,1.0,25,1,0,1,full_day
P0010013,Vienna,Austria,Children's Discovery Zoo at Hazel Arcade,zoo,3.7,1.5,30,0,1,1,quick
P0010014,Vienna,Austria,Iris Arcade Aquarium of Printmaking and Archaeology,aquarium,5.0,2.0,35,1,1,1,half_day
P0010015,Vienna,Austria,Old Juniper Arcade Natural History Botanical Garden,botanical_garden,4.6,2.5,40,0,1,0,half_day
P0010016,Vienna,Austria,Larch Arcade Archaeology Museum in Market Quarter,museum,4.2,3.0,0,1,1,1,full_day
P0010017,Vienna,Austria,Laurel Arcade Landmark of Contemporary Culture,landmark,3.8,3.5,0,0,0,1,quick
P0010018,Vienna,Austria,Urban Ecology & Archaeology Park at Linden Arcade,park,3.4,4.0,0,0,1,1,half_day
P0010019,Vienna,Austria,Harbour Maple Arcade Market: Public Art,market,4.7,4.5,4,0,1,1,half_day
P0010020,Vienna,Austria,Hilltop Geology Gallery — Moss Arcade,gallery,4.3,5.0,6,1,1,1,full_day
P0010021,Vienna,Austria,Ecology Historic Site at Oak Arcade,historic_site,3.9,0.5,8,0,1,0,quick
P0010022,Vienna,Austria,Olive Arcade Viewpoint of Design and Archaeology,viewpoint,3.5,1.0,10,0,0,1,half_day
P0010023,Vienna,Austria,Riverside Orchid Arcade Literature Food Hall,food_hall,4.8,1.5,12,1,1,1,half_day
P0010024,Vienna,Austria,Pearl Arcade Archaeology Church in City Centre,church,4.4,2.0,15,1,1,1,full_day
P0010025,Vienna,Austria,Pine Arcade Neighborhood of Sculpture,neighborhood,4.0,2.5,18,0,1,1,quick
P0010026,Vienna,Austria,Transport & Archaeology Castle at Plum Arcade,castle,3.6,3.0,22,0,1,1,half_day
P0010027,Vienna,Austria,Arts Quarter Reed Arcade Science Museum: Fashion,science_museum,4.9,3.5,25,1,0,0,half_day
P0010028,Vienna,Austria,Grand Exploration Zoo — Rose Arcade,zoo,4.5,4.0,30,0,1,1,full_day
P0010029,Vienna,Austria,Photography Aquarium at Rowan Arcade,aquarium,4.1,4.5,35,1,1,1,quick
P0010030,Vienna,Austria,Sage Arcade Botanical Garden of Craft and Archaeology,botanical_garden,3.7,5.0,40,0,1,1,half_day
P0010031,Vienna,Austria,West Silver Arcade Aviation Museum,museum,5.0,0.5,0,1,1,1,half_day
P0010032,Vienna,Austria,Spruce Arcade Archaeology Landmark in Canal Side,landmark,4.6,1.0,0,0,0,1,full_day
P0010033,Vienna,Austria,Stone Arcade Park of Astronomy,park,4.2,1.5,0,0,1,0,quick
P0010034,Vienna,Austria,Graphic Arts & Archaeology Market at Thistle Arcade,market,3.8,2.0,4,0,1,1,half_day
