city,country,country_code,currency,language,timezone,latitude,longitude,daily_food_budget_eur,daily_transport_eur,tourism_score
Vienna,Austria,AT,EUR,German,Europe/Vienna,48.2082,16.3738,42,9,4.7
Budapest,Hungary,HU,HUF,Hungarian,Europe/Budapest,47.4979,19.0402,30,7,4.7
Prague,Czechia,CZ,CZK,Czech,Europe/Prague,50.0755,14.4378,32,6,4.7
Berlin,Germany,DE,EUR,German,Europe/Berlin,52.52,13.405,38,10,4.6
Paris,France,FR,EUR,French,Europe/Paris,48.8566,2.3522,48,11,4.9
Rome,Italy,IT,EUR,Italian,Europe/Rome,41.9028,12.4964,40,7,4.9
Milan,Italy,IT,EUR,Italian,Europe/Rome,45.4642,9.19,45,7,4.5
Venice,Italy,IT,EUR,Italian,Europe/Rome,45.4408,12.3155,50,8,4.8
Florence,Italy,IT,EUR,Italian,Europe/Rome,43.7696,11.2558,43,6,4.8
Amsterdam,Netherlands,NL,EUR,Dutch,Europe/Amsterdam,52.3676,4.9041,48,10,4.7
Brussels,Belgium,BE,EUR,Dutch/French,Europe/Brussels,50.8503,4.3517,42,8,4.3
Lisbon,Portugal,PT,EUR,Portuguese,Europe/Lisbon,38.7223,-9.1393,32,7,4.7
Porto,Portugal,PT,EUR,Portuguese,Europe/Lisbon,41.1579,-8.6291,29,6,4.6
Madrid,Spain,ES,EUR,Spanish,Europe/Madrid,40.4168,-3.7038,36,7,4.6
Barcelona,Spain,ES,EUR,Catalan/Spanish,Europe/Madrid,41.3874,2.1686,39,8,4.8
Seville,Spain,ES,EUR,Spanish,Europe/Madrid,37.3891,-5.9845,31,5,4.7
Valencia,Spain,ES,EUR,Spanish,Europe/Madrid,39.4699,-0.3763,31,6,4.5
London,United Kingdom,GB,GBP,English,Europe/London,51.5072,-0.1276,52,12,4.8
Edinburgh,United Kingdom,GB,GBP,English,Europe/London,55.9533,-3.1883,42,8,4.7
Dublin,Ireland,IE,EUR,English/Irish,Europe/Dublin,53.3498,-6.2603,49,8,4.5
Copenhagen,Denmark,DK,DKK,Danish,Europe/Copenhagen,55.6761,12.5683,52,11,4.6
Stockholm,Sweden,SE,SEK,Swedish,Europe/Stockholm,59.3293,18.0686,48,10,4.6
Oslo,Norway,NO,NOK,Norwegian,Europe/Oslo,59.9139,10.7522,55,11,4.5
Helsinki,Finland,FI,EUR,Finnish/Swedish,Europe/Helsinki,60.1699,24.9384,43,9,4.4
Tallinn,Estonia,EE,EUR,Estonian,Europe/Tallinn,59.437,24.7536,29,4,4.5
Riga,Latvia,LV,EUR,Latvian,Europe/Riga,56.9496,24.1052,28,4,4.4
Vilnius,Lithuania,LT,EUR,Lithuanian,Europe/Vilnius,54.6872,25.2797,27,4,4.4
Warsaw,Poland,PL,PLN,Polish,Europe/Warsaw,52.2297,21.0122,28,5,4.3
Krakow,Poland,PL,PLN,Polish,Europe/Warsaw,50.0647,19.945,26,4,4.7
Gdansk,Poland,PL,PLN,Polish,Europe/Warsaw,54.352,18.6466,27,4,4.5
Bratislava,Slovakia,SK,EUR,Slovak,Europe/Bratislava,48.1486,17.1077,29,5,4.2
Ljubljana,Slovenia,SI,EUR,Slovenian,Europe/Ljubljana,46.0569,14.5058,31,5,4.5
Zagreb,Croatia,HR,EUR,Croatian,Europe/Zagreb,45.815,15.9819,30,5,4.3
Split,Croatia,HR,EUR,Croatian,Europe/Zagreb,43.5081,16.4402,34,4,4.6
Dubrovnik,Croatia,HR,EUR,Croatian,Europe/Zagreb,42.6507,18.0944,42,4,4.8
Athens,Greece,GR,EUR,Greek,Europe/Athens,37.9838,23.7275,32,5,4.7
Thessaloniki,Greece,GR,EUR,Greek,Europe/Athens,40.6401,22.9444,28,4,4.4
Bucharest,Romania,RO,RON,Romanian,Europe/Bucharest,44.4268,26.1025,25,4,4.1
Sofia,Bulgaria,BG,BGN,Bulgarian,Europe/Sofia,42.6977,23.3219,24,4,4.2
Belgrade,Serbia,RS,RSD,Serbian,Europe/Belgrade,44.7866,20.4489,25,4,4.3
Sarajevo,Bosnia and Herzegovina,BA,BAM,Bosnian,Europe/Sarajevo,43.8563,18.4131,23,3,4.5
Skopje,North Macedonia,MK,MKD,Macedonian,Europe/Skopje,41.9981,21.4254,22,3,4.0
Tirana,Albania,AL,ALL,Albanian,Europe/Tirane,41.3275,19.8187,24,3,4.2
Istanbul,Türkiye,TR,TRY,Turkish,Europe/Istanbul,41.0082,28.9784,27,4,4.8
Zurich,Switzerland,CH,CHF,German,Europe/Zurich,47.3769,8.5417,60,13,4.4
Geneva,Switzerland,CH,CHF,French,Europe/Zurich,46.2044,6.1432,62,12,4.3
Munich,Germany,DE,EUR,German,Europe/Berlin,48.1351,11.582,43,9,4.6
Hamburg,Germany,DE,EUR,German,Europe/Berlin,53.5511,9.9937,39,8,4.4
Cologne,Germany,DE,EUR,German,Europe/Berlin,50.9375,6.9603,37,8,4.3
Lyon,France,FR,EUR,French,Europe/Paris,45.764,4.8357,40,7,4.4
Nice,France,FR,EUR,French,Europe/Paris,43.7102,7.262,44,6,4.6
Marseille,France,FR,EUR,French,Europe/Paris,43.2965,5.3698,36,6,4.3
Salzburg,Austria,AT,EUR,German,Europe/Vienna,47.8095,13.055,39,5,4.7
Innsbruck,Austria,AT,EUR,German,Europe/Vienna,47.2692,11.4041,40,5,4.6
Reykjavik,Iceland,IS,ISK,Icelandic,Atlantic/Reykjavik,64.1466,-21.9426,58,8,4.6
Luxembourg,Luxembourg,LU,EUR,Luxembourgish/French,Europe/Luxembourg,49.6116,6.1319,48,0,4.2
Nicosia,Cyprus,CY,EUR,Greek/Turkish,Asia/Nicosia,35.1856,33.3823,31,4,4.1
Malta,Malta,MT,EUR,Maltese/English,Europe/Malta,35.8997,14.5147,34,4,4.6
Bologna,Italy,IT,EUR,Italian,Europe/Rome,44.4949,11.3426,39,5,4.5
Naples,Italy,IT,EUR,Italian,Europe/Rome,40.8518,14.2681,31,5,4.5
