base,quote,rate,snapshot_date,source
EUR,EUR,1.0,2026-09-12,offline-fallback-snapshot
EUR,HUF,395.0,2026-09-12,offline-fallback-snapshot
EUR,USD,1.17,2026-09-12,offline-fallback-snapshot
EUR,GBP,0.87,2026-09-12,offline-fallback-snapshot
EUR,CZK,24.4,2026-09-12,offline-fallback-snapshot
EUR,PLN,4.27,2026-09-12,offline-fallback-snapshot
EUR,CHF,0.94,2026-09-12,offline-fallback-snapshot
EUR,DKK,7.46,2026-09-12,offline-fallback-snapshot
EUR,SEK,10.95,2026-09-12,offline-fallback-snapshot
EUR,NOK,11.55,2026-09-12,offline-fallback-snapshot
EUR,RON,5.08,2026-09-12,offline-fallback-snapshot
EUR,BGN,1.96,2026-09-12,offline-fallback-snapshot
EUR,RSD,117.2,2026-09-12,offline-fallback-snapshot
EUR,BAM,1.96,2026-09-12,offline-fallback-snapshot
EUR,MKD,61.6,2026-09-12,offline-fallback-snapshot
EUR,ALL,97.0,2026-09-12,offline-fallback-snapshot
EUR,TRY,48.5,2026-09-12,offline-fallback-snapshot
EUR,ISK,143.0,2026-09-12,offline-fallback-snapshot
EUR,JPY,182.0,2026-09-12,offline-fallback-snapshot
EUR,CAD,1.61,2026-09-12,offline-fallback-snapshot
EUR,AUD,1.78,2026-09-12,offline-fallback-snapshot
EUR,NZD,1.91,2026-09-12,offline-fallback-snapshot
EUR,CNY,8.42,2026-09-12,offline-fallback-snapshot
EUR,KRW,1635.0,2026-09-12,offline-fallback-snapshot
EUR,SGD,1.51,2026-09-12,offline-fallback-snapshot
EUR,AED,4.29,2026-09-12,offline-fallback-snapshot
EUR,MXN,21.7,2026-09-12,offline-fallback-snapshot
EUR,BRL,6.35,2026-09-12,offline-fallback-snapshot
EUR,INR,103.0,2026-09-12,offline-fallback-snapshot
EUR,ZAR,20.3,2026-09-12,offline-fallback-snapshot
