hotel_id,city,country,name,area,stars,rating,nightly_eur,review_count,breakfast_included,refundable,distance_to_center_km,wifi,workspace,family_rooms,air_conditioning,parking,pet_friendly,accessible
H0010001,Vienna,Austria,The Amber Courtyard Hotel · Vienna,Centre,1,3.7,87,25,0,0,0.1,1,1,1,0,1,1,1
H0010002,Vienna,Austria,Atlas & Courtyard Hotel · Vienna,Museum District,2,4.0,130,162,1,1,1.8,1,0,0,1,1,0,1
H0010003,Vienna,Austria,Courtyard Hotel by Aurora · Vienna,Market District,3,3.9,208,299,1,0,3.5,1,1,0,1,0,0,1
H0010004,Vienna,Austria,Bluebird Harbour Hotel · Vienna,Harbour,4,4.0,223,436,0,1,5.2,1,0,0,1,0,0,0
H0010005,Vienna,Austria,Centre Canopy Courtyard · Vienna,Centre,5,4.9,155,573,1,0,6.9,1,1,0,0,0,0,1
H0010006,Vienna,Austria,The Cedar Courtyard Hotel · Vienna,Museum District,1,3.7,88,710,1,1,8.6,1,0,1,1,0,0,1
H0010007,Vienna,Austria,Copper & Courtyard Hotel · Vienna,Market District,2,3.5,126,847,0,0,10.3,1,1,0,1,1,0,1
H0010008,Vienna,Austria,Courtyard Hotel by Crown · Vienna,Harbour,3,3.9,191,984,1,1,12.0,1,0,0,1,1,1,1
H0010009,Vienna,Austria,Dawn Centre Hotel · Vienna,Centre,4,4.0,154,1121,1,0,1.7,1,1,0,0,0,0,1
H0010010,Vienna,Austria,Museum District Ember Courtyard · Vienna,Museum District,5,4.7,233,1258,0,1,3.4,1,0,0,1,0,0,1
H0010011,Vienna,Austria,The Evergreen Courtyard Hotel · Vienna,Market District,1,3.6,112,1395,1,0,5.1,1,1,1,1,0,0,1
H0010012,Vienna,Austria,Fern & Courtyard Hotel · Vienna,Harbour,2,3.8,134,1532,1,1,6.8,1,0,0,1,0,0,0
H0010013,Vienna,Austria,Courtyard Hotel by Golden · Vienna,Centre,3,4.3,114,1669,0,0,8.5,1,1,0,0,1,0,1
H0010014,Vienna,Austria,Harbour Museum District Hotel · Vienna,Museum District,4,4.5,149,1806,1,1,10.2,1,0,0,1,1,0,1
H0010015,Vienna,Austria,Market District Ivory Courtyard · Vienna,Market District,5,4.7,187,1943,1,0,11.9,1,1,0,1,0,1,1
