restaurant_id,city,country,name,cuisine,rating,price_level,avg_meal_eur,vegetarian_options,vegan_options,reservation_recommended,family_friendly,area
R0010001,Vienna,Austria,Little Apron Kitchen · Vienna,local,3.2,1,17,0,1,0,1,Centre
R0010002,Vienna,Austria,Basil & Copper · Vienna,italian,4.3,2,33,1,1,0,1,University District
R0010003,Vienna,Austria,The Bowl Kitchen · Vienna,asian,3.6,3,49,1,0,1,0,West End
R0010004,Vienna,Austria,Museum District Brick Kitchen · Vienna,mediterranean,4.7,4,65,0,0,1,1,Museum District
R0010005,Vienna,Austria,Little Canteen & Copper Kitchen · Vienna,vegan,4.0,1,22,1,1,0,1,Business District
R0010006,Vienna,Austria,Caraway House by Little · Vienna,street_food,3.3,2,38,1,1,0,1,Old Town
R0010007,Vienna,Austria,Little Cedar Kitchen · Vienna,fine_dining,4.4,3,54,0,0,1,1,Market District
R0010008,Vienna,Austria,Copper & Copper · Vienna,bakery,3.7,4,47,1,0,1,0,East Side
R0010009,Vienna,Austria,The Coriander Kitchen · Vienna,cafe,4.8,1,27,1,1,0,1,Station Quarter
R0010010,Vienna,Austria,Harbour Fig Kitchen · Vienna,seafood,4.1,2,43,0,1,0,1,Harbour
R0010011,Vienna,Austria,Little Fork & Copper Kitchen · Vienna,middle_eastern,3.4,3,36,1,0,1,1,Riverside
R0010012,Vienna,Austria,Garden House by Little · Vienna,indian,4.5,4,52,1,0,1,1,Parkside
R0010013,Vienna,Austria,Little Grain Kitchen · Vienna,local,3.8,1,32,0,1,0,0,Centre
R0010014,Vienna,Austria,Hearth & Copper · Vienna,italian,4.9,2,48,1,1,0,1,University District
R0010015,Vienna,Austria,The Juniper Kitchen · Vienna,asian,4.2,3,41,1,0,1,1,West End
R0010016,Vienna,Austria,Museum District Ladle Kitchen · Vienna,mediterranean,3.5,4,57,0,0,1,1,Museum District
R0010017,Vienna,Austria,Green Lemon & Copper Kitchen · Vienna,vegan,4.6,1,37,1,1,0,1,Business District
R0010018,Vienna,Austria,Market House by Green · Vienna,street_food,3.9,2,30,1,1,0,0,Old Town
R0010019,Vienna,Austria,Green Mint Table · Vienna,fine_dining,3.2,3,46,0,0,1,1,Market District
R0010020,Vienna,Austria,Olive & Copper · Vienna,bakery,4.3,4,62,1,0,1,1,East Side
R0010021,Vienna,Austria,The Orchard Table · Vienna,cafe,3.6,1,19,1,1,0,1,Station Quarter
R0010022,Vienna,Austria,Harbour Oven Table · Vienna,seafood,4.7,2,35,0,1,0,1,Harbour
R0010023,Vienna,Austria,Green Pantry & Copper Table · Vienna,middle_eastern,4.0,3,51,1,0,1,0,Riverside
R0010024,Vienna,Austria,Pepper House by Green · Vienna,indian,3.3,4,44,1,0,1,1,Parkside
R0010025,Vienna,Austria,Green Plate Table · Vienna,local,4.4,1,24,0,1,0,1,Centre
R0010026,Vienna,Austria,Rosemary & Copper · Vienna,italian,3.7,2,40,1,1,0,1,University District
R0010027,Vienna,Austria,The Saffron Table · Vienna,asian,4.8,3,56,1,0,1,1,West End
R0010028,Vienna,Austria,Museum District Salt Table · Vienna,mediterranean,4.1,4,49,0,0,1,0,Museum District
R0010029,Vienna,Austria,Golden Skillet & Copper Table · Vienna,vegan,3.4,1,29,1,1,0,1,Business District
R0010030,Vienna,Austria,Spoon House by Golden · Vienna,street_food,4.5,2,45,1,1,0,1,Old Town
R0010031,Vienna,Austria,Golden Table Table · Vienna,fine_dining,3.8,3,38,0,0,1,1,Market District
R0010032,Vienna,Austria,Thyme & Copper · Vienna,bakery,4.9,4,54,1,0,1,1,East Side
R0010033,Vienna,Austria,The Walnut Table · Vienna,cafe,4.2,1,34,1,1,0,0,Station Quarter
R0010034,Vienna,Austria,Harbour Willow Table · Vienna,seafood,3.5,2,27,0,1,0,1,Harbour
R0010035,Vienna,Austria,Golden Ember & Copper Bistro · Vienna,middle_eastern,4.6,3,43,1,0,1,1,Riverside
R0010036,Vienna,Austria,Flour House by Golden · Vienna,indian,3.9,4,59,1,0,1,1,Parkside
R0010037,Vienna,Austria,Golden Kettle Bistro · Vienna,local,3.2,1,39,0,1,0,1,Centre
R0010038,Vienna,Austria,Lantern & Copper · Vienna,italian,4.3,2,32,1,1,0,0,University District
R0010039,Vienna,Austria,The Mill Bistro · Vienna,asian,3.6,3,48,1,0,1,1,West End
R0010040,Vienna,Austria,Museum District Mosaic Bistro · Vienna,mediterranean,4.7,4,64,0,0,1,1,Museum District
R0010041,Vienna,Austria,Local Nook & Copper Bistro · Vienna,vegan,4.0,1,21,1,1,0,1,Business District
R0010042,Vienna,Austria,Oak House by Local · Vienna,street_food,3.3,2,37,1,1,0,1,Old Town
R0010043,Vienna,Austria,Local Pear Bistro · Vienna,fine_dining,4.4,3,53,0,0,1,0,Market District
R0010044,Vienna,Austria,Poppy & Copper · Vienna,bakery,3.7,4,46,1,0,1,1,East Side
R0010045,Vienna,Austria,The Quince Bistro · Vienna,cafe,4.8,1,26,1,1,0,1,Station Quarter
