city,single_ticket_eur,day_pass_eur,three_day_pass_eur,weekly_pass_eur,airport_transfer_eur,bike_day_eur,taxi_start_eur,taxi_per_km_eur,walkability_score,metro_available,night_service
Vienna,1.8,9,22.95,48.6,18.2,15.2,4.75,1.62,8.9,1,1
Budapest,1.4,7,17.85,37.8,14.6,13.6,4.25,1.46,8.9,1,1
Prague,1.2,6,15.3,32.4,12.8,12.8,4.0,1.38,8.9,1,1
Berlin,2.0,10,25.5,54.0,20.0,16.0,5.0,1.7,8.9,0,1
Paris,2.2,11,28.05,59.4,21.8,16.8,5.25,1.78,9.1,1,0
Rome,1.4,7,17.85,37.8,14.6,13.6,4.25,1.46,9.1,0,1
Milan,1.4,7,17.85,37.8,14.6,13.6,4.25,1.46,8.8,0,0
Venice,1.6,8,20.4,43.2,16.4,14.4,4.5,1.54,9.0,1,1
Florence,1.2,6,15.3,32.4,12.8,12.8,4.0,1.38,9.0,1,1
Amsterdam,2.0,10,25.5,54.0,20.0,16.0,5.0,1.7,8.9,1,0
Brussels,1.6,8,20.4,43.2,16.4,14.4,4.5,1.54,8.7,0,1
Lisbon,1.4,7,17.85,37.8,14.6,13.6,4.25,1.46,8.9,0,1
Porto,1.2,6,15.3,32.4,12.8,12.8,4.0,1.38,8.9,1,0
Madrid,1.4,7,17.85,37.8,14.6,13.6,4.25,1.46,8.9,1,1
Barcelona,1.6,8,20.4,43.2,16.4,14.4,4.5,1.54,9.0,1,0
Seville,1.2,5,12.75,27.0,11.0,12.0,3.75,1.3,8.9,1,0
Valencia,1.2,6,15.3,32.4,12.8,12.8,4.0,1.38,8.8,0,1
London,2.4,12,30.6,64.8,23.6,17.6,5.5,1.86,9.0,1,1
Edinburgh,1.6,8,20.4,43.2,16.4,14.4,4.5,1.54,8.9,1,0
Dublin,1.6,8,20.4,43.2,16.4,14.4,4.5,1.54,8.8,1,1
Copenhagen,2.2,11,28.05,59.4,21.8,16.8,5.25,1.78,8.9,1,1
Stockholm,2.0,10,25.5,54.0,20.0,16.0,5.0,1.7,8.9,1,0
Oslo,2.2,11,28.05,59.4,21.8,16.8,5.25,1.78,8.8,0,1
Helsinki,1.8,9,22.95,48.6,18.2,15.2,4.75,1.62,8.7,0,1
Tallinn,1.2,4,10.2,21.6,9.2,11.2,3.5,1.22,8.8,1,0
Riga,1.2,4,10.2,21.6,9.2,11.2,3.5,1.22,8.7,0,1
Vilnius,1.2,4,10.2,21.6,9.2,11.2,3.5,1.22,8.7,1,0
Warsaw,1.2,5,12.75,27.0,11.0,12.0,3.75,1.3,8.7,0,1
Krakow,1.2,4,10.2,21.6,9.2,11.2,3.5,1.22,8.9,1,1
Gdansk,1.2,4,10.2,21.6,9.2,11.2,3.5,1.22,8.8,0,1
Bratislava,1.2,5,12.75,27.0,11.0,12.0,3.75,1.3,8.6,1,1
Ljubljana,1.2,5,12.75,27.0,11.0,12.0,3.75,1.3,8.8,1,0
Zagreb,1.2,5,12.75,27.0,11.0,12.0,3.75,1.3,8.7,1,1
Split,1.2,4,10.2,21.6,9.2,11.2,3.5,1.22,8.9,1,0
Dubrovnik,1.2,4,10.2,21.6,9.2,11.2,3.5,1.22,9.0,0,0
Athens,1.2,5,12.75,27.0,11.0,12.0,3.75,1.3,8.9,1,1
Thessaloniki,1.2,4,10.2,21.6,9.2,11.2,3.5,1.22,8.7,1,1
Bucharest,1.2,4,10.2,21.6,9.2,11.2,3.5,1.22,8.5,0,0
Sofia,1.2,4,10.2,21.6,9.2,11.2,3.5,1.22,8.6,1,0
Belgrade,1.2,4,10.2,21.6,9.2,11.2,3.5,1.22,8.7,1,1
Sarajevo,1.2,3,7.65,16.2,7.4,10.4,3.25,1.14,8.8,1,1
Skopje,1.2,3,7.65,16.2,7.4,10.4,3.25,1.14,8.5,1,1
Tirana,1.2,3,7.65,16.2,7.4,10.4,3.25,1.14,8.6,1,1
Istanbul,1.2,4,10.2,21.6,9.2,11.2,3.5,1.22,9.0,1,1
Zurich,2.6,13,33.15,70.2,25.4,18.4,5.75,1.94,8.7,1,1
Geneva,2.4,12,30.6,64.8,23.6,17.6,5.5,1.86,8.7,0,1
Munich,1.8,9,22.95,48.6,18.2,15.2,4.75,1.62,8.9,1,1
Hamburg,1.6,8,20.4,43.2,16.4,14.4,4.5,1.54,8.7,1,0
Cologne,1.6,8,20.4,43.2,16.4,14.4,4.5,1.54,8.7,0,0
Lyon,1.4,7,17.85,37.8,14.6,13.6,4.25,1.46,8.7,1,1
Nice,1.2,6,15.3,32.4,12.8,12.8,4.0,1.38,8.9,0,1
Marseille,1.2,6,15.3,32.4,12.8,12.8,4.0,1.38,8.7,0,0
Salzburg,1.2,5,12.75,27.0,11.0,12.0,3.75,1.3,8.9,0,1
Innsbruck,1.2,5,12.75,27.0,11.0,12.0,3.75,1.3,8.9,1,0
Reykjavik,1.6,8,20.4,43.2,16.4,14.4,4.5,1.54,8.9,1,0
Luxembourg,1.2,0,0.0,0.0,2.0,8.0,2.5,0.9,8.6,1,1
Nicosia,1.2,4,10.2,21.6,9.2,11.2,3.5,1.22,8.5,1,0
Malta,1.2,4,10.2,21.6,9.2,11.2,3.5,1.22,8.9,0,0
Bologna,1.2,5,12.75,27.0,11.0,12.0,3.75,1.3,8.8,1,0
Naples,1.2,5,12.75,27.0,11.0,12.0,3.75,1.3,8.8,0,1
