id,tool_selection_accuracy,tool_precision,tool_recall,tool_f1,argument_accuracy,task_success,unnecessary_tool_call_rate,num_calls,latency_ms
CASE00001,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,273.8935670004139
CASE00002,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,143.7263300003906
CASE00003,1.0,1.0,1.0,1.0,0.8333333333333334,0.0,0.0,1,444.8118849995808
CASE00004,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,14.285193999967305
CASE00005,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2,1.3907239999753074
CASE00006,0.0,0.5,1.0,0.6666666666666666,1.0,0.0,0.5,4,950.5686889997378
CASE00007,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2,12.857769999754964
CASE00008,0.0,0.75,1.0,0.8571428571428571,1.0,0.0,0.25,4,23.03435100020579
CASE00009,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3,8.565477999582072
CASE00010,0.0,0.8,1.0,0.888888888888889,0.9285714285714286,0.0,0.2,5,41.80074500072806
CASE00011,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.389918000313628
CASE00012,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,0.9430420004719053
CASE00013,1.0,1.0,1.0,1.0,0.8,0.0,0.0,1,24.886551999770745
CASE00014,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,16.259994999927585
CASE00015,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2,14.298576000328467
CASE00016,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2,27.857105000293814
CASE00017,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2,20.907052000438853
CASE00018,0.0,0.75,1.0,0.8571428571428571,1.0,0.0,0.25,4,29.639473999850452
CASE00019,1.0,1.0,1.0,1.0,0.9230769230769231,0.0,0.0,3,31.241724999745202
CASE00020,1.0,1.0,1.0,1.0,0.9166666666666666,0.0,0.0,4,18.342589999519987
CASE00021,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,16.261536999991222
CASE00022,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,6.478614999650745
CASE00023,1.0,1.0,1.0,1.0,0.8333333333333334,0.0,0.0,1,14.976788999774726
CASE00024,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,12.843528000303195
CASE00025,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2,15.433889000632917
CASE00026,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2,36.19432199957373
CASE00027,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2,1.2711760000456707
CASE00028,1.0,1.0,1.0,1.0,0.9333333333333333,0.0,0.0,3,53.346194000368996
CASE00029,1.0,1.0,1.0,1.0,0.9166666666666666,0.0,0.0,3,47.792659000151616
CASE00030,1.0,1.0,1.0,1.0,0.9166666666666666,0.0,0.0,4,41.51448700031324
CASE00031,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.1163970002598944
CASE00032,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,0.8333290006703464
CASE00033,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,6.629575000260957
CASE00034,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,22.956367999540817
CASE00035,1.0,1.0,1.0,1.0,0.875,0.0,0.0,2,15.339722000135225
CASE00036,0.0,0.6666666666666666,1.0,0.8,0.8888888888888888,0.0,0.3333333333333333,3,39.43521300061548
CASE00037,1.0,1.0,1.0,1.0,0.8333333333333334,0.0,0.0,2,25.784913999814307
CASE00038,0.0,0.6,1.0,0.7499999999999999,0.9230769230769231,0.0,0.4,5,31.054940999638347
CASE00039,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3,7.601823999721091
CASE00040,0.0,0.5,0.5,0.5,0.5,0.0,0.5,4,28.133472000263282
CASE00041,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,0.9356219998153392
CASE00042,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,9.499376000349002
CASE00043,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.2560719997054548
CASE00044,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,0.8890709996194346
CASE00045,1.0,1.0,1.0,1.0,0.875,0.0,0.0,2,9.197902999403595
CASE00046,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2,38.29713199957041
CASE00047,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2,6.967614999666694
CASE00048,0.0,0.75,1.0,0.8571428571428571,0.6666666666666666,0.0,0.25,4,37.665878000552766
CASE00049,1.0,1.0,1.0,1.0,0.9166666666666666,0.0,0.0,3,29.059663999760232
CASE00050,1.0,1.0,1.0,1.0,0.9411764705882353,0.0,0.0,4,52.0482029996856
CASE00051,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,0.950148999436351
CASE00052,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,13.848714999767253
CASE00053,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,7.127717000003031
CASE00054,1.0,1.0,1.0,1.0,0.5,0.0,0.0,1,0.9501079994151951
CASE00055,1.0,1.0,1.0,1.0,0.75,0.0,0.0,2,7.548977000624291
CASE00056,0.0,0.6666666666666666,1.0,0.8,0.8571428571428571,0.0,0.3333333333333333,3,57.03124700085027
CASE00057,0.0,0.6666666666666666,1.0,0.8,1.0,0.0,0.3333333333333333,3,6.284975999733433
CASE00058,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3,23.19267600068997
CASE00059,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3,18.231144999845128
CASE00060,1.0,1.0,1.0,1.0,1.0,1.0,0.0,4,22.462902999905054
CASE00061,1.0,1.0,1.0,1.0,0.8,0.0,0.0,1,25.22429100008594
CASE00062,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.1563280004338594
CASE00063,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,6.514149000395264
CASE00064,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,24.683052999534993
