id,tool_selection_accuracy,tool_precision,tool_recall,tool_f1,argument_accuracy,task_success,unnecessary_tool_call_rate,num_calls,latency_ms
CASE00001,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,219.1603280007257
CASE00002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.20761099949595518
CASE00003,1.0,1.0,1.0,1.0,0.8333333333333334,0.0,0.0,1,212.09358200030692
CASE00004,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,10.677881000447087
CASE00005,0.0,1.0,0.5,0.6666666666666666,0.6666666666666666,0.0,0.0,1,0.6243869993340923
CASE00006,0.0,0.5,1.0,0.6666666666666666,1.0,0.0,0.5,4,771.9118969998817
CASE00007,0.0,1.0,0.5,0.6666666666666666,0.6,0.0,0.0,1,248.5108159999072
CASE00008,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3,23.62549399913405
CASE00009,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3,5.707245999474253
CASE00010,0.0,0.8,1.0,0.888888888888889,0.9285714285714286,0.0,0.2,5,40.97216900026979
CASE00011,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,0.3827239997917786
CASE00012,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,0.115075999929104
CASE00013,1.0,1.0,1.0,1.0,0.8,0.0,0.0,1,24.403774000347767
CASE00014,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,14.84386500032997
CASE00015,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2,13.347733999580669
CASE00016,0.0,1.0,0.5,0.6666666666666666,0.8333333333333334,0.0,0.0,1,29.48590200048784
CASE00017,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2,18.97510799972224
CASE00018,0.0,0.75,1.0,0.8571428571428571,1.0,0.0,0.25,4,30.78591299981781
CASE00019,0.0,1.0,0.3333333333333333,0.5,0.15384615384615385,0.0,0.0,1,6.7238279998491635
CASE00020,1.0,1.0,1.0,1.0,0.9166666666666666,0.0,0.0,4,17.076719000215235
CASE00021,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,14.223864000086905
CASE00022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.30888199944456574
CASE00023,1.0,1.0,1.0,1.0,0.8333333333333334,0.0,0.0,1,15.437971000210382
CASE00024,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,13.618581999253365
CASE00025,0.0,1.0,0.5,0.6666666666666666,0.3333333333333333,0.0,0.0,1,5.761102000178653
CASE00026,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2,35.24949300026492
CASE00027,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2,0.3942000003007706
CASE00028,1.0,1.0,1.0,1.0,0.9333333333333333,0.0,0.0,3,54.75986300007207
CASE00029,1.0,1.0,1.0,1.0,0.9166666666666666,0.0,0.0,3,46.051989999796206
CASE00030,1.0,1.0,1.0,1.0,0.9166666666666666,0.0,0.0,4,36.73135799999727
CASE00031,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,0.25812400053837337
CASE00032,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,0.14194499999575783
CASE00033,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,5.81134000003658
CASE00034,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,22.022922999894945
CASE00035,0.0,1.0,0.5,0.6666666666666666,0.625,0.0,0.0,1,15.786257000399928
CASE00036,0.0,0.6666666666666666,1.0,0.8,0.8888888888888888,0.0,0.3333333333333333,3,36.99284499998612
CASE00037,0.0,1.0,0.5,0.6666666666666666,0.6666666666666666,0.0,0.0,1,24.238101000264578
CASE00038,0.0,0.6,1.0,0.7499999999999999,0.9230769230769231,0.0,0.4,5,27.15030199942703
CASE00039,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3,7.151939000323182
CASE00040,0.0,0.5,0.5,0.5,0.5,0.0,0.5,4,27.466440000353032
CASE00041,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,0.27882099948328687
CASE00042,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,10.780565999993996
CASE00043,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,0.25129999994533136
CASE00044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.146799000503961
CASE00045,0.0,1.0,0.5,0.6666666666666666,0.25,0.0,0.0,1,0.3740759993888787
CASE00046,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2,32.72988499975327
CASE00047,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2,5.769872999735526
CASE00048,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.0,0.3333333333333333,3,37.653506000424386
CASE00049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.35475000004225876
CASE00050,1.0,1.0,1.0,1.0,0.9411764705882353,0.0,0.0,4,45.05956299999525
CASE00051,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,0.2922259991464671
CASE00052,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,12.926024999615038
CASE00053,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,5.749483999352378
