id,tool_selection_accuracy,tool_precision,tool_recall,tool_f1,argument_accuracy,task_success,unnecessary_tool_call_rate,num_calls,latency_ms
CASE00001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,9.683614000095986
CASE00002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.18786800046655117
CASE00003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.455079999890586
CASE00004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.21793899941258132
CASE00005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.17489399942860473
CASE00006,0.0,0.3333333333333333,0.5,0.4,0.7142857142857143,0.0,0.6666666666666666,3,455.9691290005503
CASE00007,0.0,1.0,0.5,0.6666666666666666,0.6,0.0,0.0,1,122.00596900038363
CASE00008,0.0,1.0,0.3333333333333333,0.5,0.3333333333333333,0.0,0.0,1,6.259482000132266
CASE00009,0.0,1.0,0.6666666666666666,0.8,0.6666666666666666,0.0,0.0,2,5.693866999536112
CASE00010,0.0,0.6666666666666666,0.5,0.5714285714285715,0.35714285714285715,0.0,0.3333333333333333,3,20.57612299995526
CASE00011,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,0.39113899947551545
CASE00012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.08836600045469822
CASE00013,1.0,1.0,1.0,1.0,0.8,0.0,0.0,1,19.161607000569347
CASE00014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.24049200055742403
CASE00015,0.0,1.0,0.5,0.6666666666666666,0.14285714285714285,0.0,0.0,1,1.3270179997562082
CASE00016,0.0,1.0,0.5,0.6666666666666666,0.8333333333333334,0.0,0.0,1,19.73868700042658
CASE00017,0.0,1.0,0.5,0.6666666666666666,0.42857142857142855,0.0,0.0,1,5.449520000183838
CASE00018,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.75,0.0,0.3333333333333333,3,18.71070699962729
CASE00019,0.0,1.0,0.3333333333333333,0.5,0.15384615384615385,0.0,0.0,1,5.751605000114068
CASE00020,0.0,1.0,0.5,0.6666666666666666,0.3333333333333333,0.0,0.0,2,5.323598000359198
CASE00021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.23446800059900852
CASE00022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2654370000527706
CASE00023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.19849099953717086
CASE00024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.25845199979812605
CASE00025,0.0,1.0,0.5,0.6666666666666666,0.3333333333333333,0.0,0.0,1,5.186153000067861
CASE00026,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2,21.71064399954048
CASE00027,0.0,1.0,0.5,0.6666666666666666,0.3333333333333333,0.0,0.0,1,0.4512770001383615
CASE00028,0.0,1.0,0.3333333333333333,0.5,0.3333333333333333,0.0,0.0,1,17.35197700054414
CASE00029,0.0,1.0,0.6666666666666666,0.8,0.6666666666666666,0.0,0.0,2,23.164969999925233
CASE00030,0.0,1.0,0.5,0.6666666666666666,0.5,0.0,0.0,2,16.74952699977439
CASE00031,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,0.21786100023746258
CASE00032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.13775000024907058
CASE00033,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,5.232078000517504
CASE00034,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,14.704928999890399
CASE00035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.41216800036636414
CASE00036,0.0,0.5,0.5,0.5,0.2222222222222222,0.0,0.5,2,19.80989599996974
CASE00037,0.0,1.0,0.5,0.6666666666666666,0.6666666666666666,0.0,0.0,1,15.568393999274122
CASE00038,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3076923076923077,0.0,0.6666666666666666,3,14.102547000220511
CASE00039,0.0,1.0,0.6666666666666666,0.8,0.6666666666666666,0.0,0.0,2,5.780241000138631
CASE00040,0.0,0.3333333333333333,0.25,0.28571428571428575,0.35714285714285715,0.0,0.6666666666666666,3,17.655278999882285
CASE00041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.24384999960602727
CASE00042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2998059999299585
CASE00043,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,0.1869429997896077
CASE00044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.13731600029132096
